2024-07-31,13:33:38.890.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2020\07-2WesternRoadTrip  809 files
2024-07-31,13:33:38.890.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2020 max_year=2020
2024-07-31,13:33:38.894.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2020\10Hawaii  276 files
2024-07-31,13:33:38.894.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2020 max_year=2020
2024-07-31,13:33:38.900.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2020\11-1LasVegas  142 files
2024-07-31,13:33:38.901.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2020 max_year=2020
2024-07-31,13:33:38.902.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2020\11-2SanAntonio  318 files
2024-07-31,13:33:38.902.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2020 max_year=2020
2024-07-31,13:33:38.908.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2021  5 dirs  2051 files
2024-07-31,13:33:38.908.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2021 max_year=2021
2024-07-31,13:33:38.918.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2021\02CorpusChristi  55 files
2024-07-31,13:33:38.918.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2021 max_year=2021
2024-07-31,13:33:38.920.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2021\04CostaRica  525 files
2024-07-31,13:33:38.920.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2021 max_year=2021
2024-07-31,13:33:38.923.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2021\06Sandpoint  74 files
2024-07-31,13:33:38.924.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2021 max_year=2021
2024-07-31,13:33:38.925.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2021\08Willsboro  14 files
2024-07-31,13:33:38.925.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2021 max_year=2021
2024-07-31,13:33:38.927.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2021\10Florida  89 files
2024-07-31,13:33:38.928.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2021 max_year=2021
2024-07-31,13:33:38.932.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2022  3 dirs  1831 files
2024-07-31,13:33:38.932.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2022 max_year=2022
2024-07-31,13:33:38.941.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2022\01FloridaNYRoad  458 files
2024-07-31,13:33:38.941.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2022 max_year=2022
2024-07-31,13:33:38.949.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2022\07MoveToNY  159 files
2024-07-31,13:33:38.949.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2022 max_year=2022
2024-07-31,13:33:38.950.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2022\09Pok-O-Moonshine  34 files
2024-07-31,13:33:38.950.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2022 max_year=2022
2024-07-31,13:33:38.952.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2023  3 dirs  654 files
2024-07-31,13:33:38.952.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2023 max_year=2023
2024-07-31,13:33:38.957.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2023\06Niagara  200 files
2024-07-31,13:33:38.957.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2023 max_year=2023
2024-07-31,13:33:38.959.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2023\07EasternCanada  564 files
2024-07-31,13:33:38.959.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2023 max_year=2023
2024-07-31,13:33:38.961.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2023\12Albany  31 files
2024-07-31,13:33:38.962.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2023 max_year=2023
